health,power,bearing,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
1000,1000,248.72979736328125,-1131.7158203125,9.241854667663574,-473.1329040527344,-0.3627660572528839,-0.0006336200749501586,0.9318802356719971,0.0,-0.0017836176557466388,0.9999983906745911,-1.4397373888641596e-05,0.0,-0.9318786859512329,-0.0016673407517373562,-0.3627666234970093,0.0
1000,1000,249.91810607910156,-1131.34619140625,9.241857528686523,-473.1461486816406,-0.34336236119270325,-0.0006294986233115196,0.9392029643058777,0.0,-0.0017911416944116354,0.9999983906745911,1.5424913726747036e-05,0.0,-0.9392014145851135,-0.0016769490903243423,-0.3433629274368286,0.0
1000,1000,251.1078643798828,-1130.97705078125,9.241857528686523,-473.1513977050781,-0.3237868845462799,-0.0006244077812880278,0.9461299180984497,0.0,-0.0017993624787777662,0.9999983310699463,4.4176762457937e-05,0.0,-0.9461283683776855,-0.0016881267074495554,-0.32378751039505005,0.0
1000,1000,252.29922485351562,-1130.6082763671875,9.241860389709473,-473.148681640625,-0.3040452301502228,-0.0006202819058671594,0.9526575207710266,0.0,-0.0018080404261127114,0.9999983310699463,7.406127406284213e-05,0.0,-0.9526559710502625,-0.0016999251674860716,-0.3040458559989929,0.0
1000,1000,253.49273681640625,-1130.23974609375,9.241859436035156,-473.1380310058594,-0.2841363251209259,-0.0006149662658572197,0.9587838053703308,0.0,-0.001818354008719325,0.9999983906745911,0.00010253093205392361,0.0,-0.9587822556495667,-0.0017142754513770342,-0.28413695096969604,0.0
1000,1000,254.6891326904297,-1129.87158203125,9.241857528686523,-473.11944580078125,-0.2640552818775177,-0.0006086492794565856,0.9645072817802429,0.0,-0.0018302674870938063,0.9999982714653015,0.00012996932491660118,0.0,-0.9645057320594788,-0.001730987336486578,-0.2640559673309326,0.0
1000,1000,255.88905334472656,-1129.503662109375,9.241856575012207,-473.09295654296875,-0.24379971623420715,-0.0006025107577443123,0.9698255658149719,0.0,-0.0018431381322443485,0.9999982714653015,0.00015791854821145535,0.0,-0.9698240160942078,-0.0017490218160673976,-0.24380040168762207,0.0
1000,1000,257.0930480957031,-1129.135986328125,9.241854667663574,-473.0585021972656,-0.22336772084236145,-0.0005956473178230226,0.9747341871261597,0.0,-0.00185851426795125,0.9999982118606567,0.0001851934939622879,0.0,-0.9747326374053955,-0.001770191127434373,-0.22336846590042114,0.0
1000,1000,258.3018798828125,-1128.7685546875,9.241851806640625,-473.0160827636719,-0.2027544230222702,-0.0005893053603358567,0.9792295098304749,0.0,-0.001877188216894865,0.9999982118606567,0.0002131229266524315,0.0,-0.9792278409004211,-0.0017949864268302917,-0.2027551531791687,0.0
1000,1000,259.51611328125,-1128.4013671875,9.241852760314941,-472.96563720703125,-0.18195824325084686,-0.0005821587983518839,0.9833062291145325,0.0,-0.0018961371388286352,0.999998152256012,0.00024116621352732182,0.0,-0.9833045601844788,-0.0018206010572612286,-0.18195903301239014,0.0
