health,power,bearing,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
1000,1000,180.47494506835938,9.0,28.690792083740234,-1054.0,-0.9999659061431885,1.1241810682349751e-07,0.00828945729881525,0.0,1.1230652319227374e-07,1.0,-1.3926753084092525e-08,0.0,-0.00828945729881525,-1.2995315046282485e-08,-0.9999659061431885,0.0
1000,1000,180.41766357421875,9.0,28.43410873413086,-1054.0,-0.9999737739562988,1.2321585529662116e-07,0.007289613131433725,0.0,1.2308798602589377e-07,1.0,-1.7991039769071904e-08,0.0,-0.007289613131433725,-1.7093297444148448e-08,-0.9999737739562988,0.0
1000,1000,180.36065673828125,9.0,28.155467987060547,-1054.0,-0.9999804496765137,1.2914958347209904e-07,0.006294700782746077,0.0,1.2901327295367082e-07,1.0,-2.205918292474962e-08,0.0,-0.006294700782746077,-2.1246645331984837e-08,-0.9999804496765137,0.0
1000,1000,180.30398559570312,9.0,27.855087280273438,-1054.0,-0.9999861717224121,1.349994391830478e-07,0.005305347498506308,0.0,1.3487859007454972e-07,1.0,-2.313539404497078e-08,0.0,-0.005305347498506308,-2.241949026426937e-08,-0.9999861717224121,0.0
1000,1000,180.2476806640625,9.0,27.533185958862305,-1054.0,-0.9999909400939941,1.6375807376789453e-07,0.004322851076722145,0.0,1.6365498822779045e-07,1.0,-2.419990430269081e-08,0.0,-0.004322851076722145,-2.3492221501442145e-08,-0.9999909400939941,0.0
1000,1000,180.19166564941406,9.0,27.189979553222656,-1054.0,-0.9999947547912598,1.755189771301957e-07,0.0033452443312853575,0.0,1.7545480091030186e-07,1.0,-1.9473993972951575e-08,0.0,-0.0033452443312853575,-1.888694711738026e-08,-0.9999947547912598,0.0
1000,1000,180.13595581054688,9.0,26.825679779052734,-1054.0,-0.9999971389770508,2.018948634940898e-07,0.002373094903305173,0.0,2.0183216520308633e-07,1.0,-2.6655776252937358e-08,0.0,-0.002373094903305173,-2.6176735445915256e-08,-0.9999971389770508,0.0
1000,1000,180.08062744140625,9.0,26.44049835205078,-1054.0,-0.9999990463256836,2.150410551848836e-07,0.0014070624019950628,0.0,2.1500228797322052e-07,1.0,-2.76986913405608e-08,0.0,-0.0014070624019950628,-2.739614224367415e-08,-0.9999990463256836,0.0
1000,1000,180.0255126953125,9.0,26.034643173217773,-1054.0,-1.0,2.239141139170897e-07,0.0004451373824849725,0.0,2.2390126730442717e-07,1.0,-2.8889989067693023e-08,0.0,-0.0004451373824849725,-2.8790317685434275e-08,-1.0,0.0
1000,1000,179.97073364257812,9.0,25.608322143554688,-1054.0,-1.0,2.1651698034474975e-07,-0.0005105935269966722,0.0,2.1653556814271724e-07,1.0,-3.63448009466083e-08,0.0,0.0005105935269966722,-3.6455361396292574e-08,-1.0,0.0
1000,1000,179.91647338867188,9.0,25.161739349365234,-1054.0,-0.9999990463256836,2.282550468635236e-07,-0.0014576490502804518,0.0,2.2830569434972858e-07,1.0,-3.458738362382974e-08,0.0,0.0014576490502804518,-3.492013789241355e-08,-0.9999990463256836,0.0
