health,power,bearing,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
1000,1000,220.19830322265625,994.0,30.0,-330.0,-0.76381516456604,0.0,0.6454349160194397,0.0,0.0,1.0,0.0,0.0,-0.6454349160194397,0.0,-0.76381516456604,0.0
1000,1000,225.06179809570312,994.0,29.975475311279297,-330.0,-0.7063435316085815,-1.8247295230366944e-08,0.7078690528869629,0.0,-1.995260845433222e-08,1.0,5.868172614498235e-09,0.0,-0.7078690528869629,-9.978887938189018e-09,-0.7063435316085815,0.0
1000,1000,224.4281005859375,994.0,29.92667007446289,-330.0,-0.7141296863555908,-2.4000197385021238e-08,0.7000138759613037,0.0,-2.3311642394219234e-08,1.0,1.0503608649514717e-08,0.0,-0.7000138759613037,-8.817533370120145e-09,-0.7141296863555908,0.0
1000,1000,223.23245239257812,994.0,29.85382843017578,-330.0,-0.7285807132720947,-3.4355448264022925e-08,0.6849600672721863,0.0,-3.2243956837874066e-08,1.0,1.5859502155990413e-08,0.0,-0.6849600672721863,-1.0530896155103164e-08,-0.7285807132720947,0.0
1000,1000,222.174072265625,994.0,29.757190704345703,-330.0,-0.7411086559295654,-4.555841925935056e-08,0.6713852286338806,0.0,-4.2395601695943697e-08,1.0,2.1058964350118003e-08,0.0,-0.6713852286338806,-1.2856800069016572e-08,-0.7411086559295654,0.0
1000,1000,221.1461181640625,994.0,29.636993408203125,-330.0,-0.7530339956283569,-5.688558246674802e-08,0.6579813957214355,0.0,-5.2660219296285504e-08,1.0,2.618712180435523e-08,0.0,-0.6579813957214355,-1.4929648628481118e-08,-0.7530339956283569,0.0
1000,1000,220.12161254882812,994.0,29.493473052978516,-330.0,-0.7646784782409668,-6.833120380633773e-08,0.6444121599197388,0.0,-6.30301997261995e-08,1.0,3.1243008180581455e-08,0.0,-0.6444121599197388,-1.6726570351011105e-08,-0.7646784782409668,0.0
1000,1000,219.10206604003906,994.0,29.326862335205078,-330.0,-0.7760237455368042,-7.979358684906401e-08,0.630703866481781,0.0,-7.348129571482787e-08,1.0,3.6103102729612147e-08,0.0,-0.630703866481781,-1.832807861035235e-08,-0.7760237455368042,0.0
1000,1000,218.08831787109375,994.0,29.137393951416016,-330.0,-0.7870610952377319,-9.871664019556192e-08,0.6168755292892456,0.0,-9.085293584121246e-08,1.0,4.410916787378483e-08,0.0,-0.6168755292892456,-2.132835064116989e-08,-0.7870610952377319,0.0
1000,1000,217.08035278320312,994.0,28.925294876098633,-330.0,-0.7977907657623291,-1.1784594988739627e-07,0.6029345393180847,0.0,-1.0836703978611695e-07,1.0,5.206491238141098e-08,0.0,-0.6029345393180847,-2.3801325355066183e-08,-0.7977907657623291,0.0
1000,1000,216.0780792236328,994.0,28.690792083740234,-330.0,-0.8082153797149658,-1.367832282994641e-07,0.5888872742652893,0.0,-1.256535711036122e-07,1.0,5.982148110206253e-08,0.0,-0.5888872742652893,-2.564714662867118e-08,-0.8082153797149658,0.0
1000,1000,215.08148193359375,994.0,28.43410873413086,-330.0,-0.8183355331420898,-1.5572133804653276e-07,0.5747408270835876,0.0,-1.427384717089808e-07,1.0,6.770597593686034e-08,0.0,-0.5747408270835876,-2.663142062431234e-08,-0.8183355331420898,0.0
1000,1000,214.09054565429688,994.0,28.155467987060547,-330.0,-0.8281528949737549,-1.5869463254603033e-07,0.5605024099349976,0.0,-1.4465524600382196e-07,1.0,6.93984389954494e-08,0.0,-0.5605024099349976,-2.3607089616461963e-08,-0.8281528949737549,0.0
1000,1000,213.10520935058594,994.0,27.85508918762207,-330.0,-0.8376692533493042,-1.693057214424698e-07,0.5461782217025757,0.0,-1.5388987151254696e-07,1.0,7.396292289740813e-08,0.0,-0.5461782217025757,-2.2094832630159544e-08,-0.8376692533493042,0.0
1000,1000,212.12547302246094,994.0,27.533187866210938,-330.0,-0.8468855619430542,-1.8755794428670924e-07,0.5317751169204712,0.0,-1.7052725809207914e-07,1.0,8.112611737942643e-08,0.0,-0.5317751169204712,-2.1977609065970682e-08,-0.8468855619430542,0.0
1000,1000,211.15127563476562,994.0,27.18998146057129,-330.0,-0.8558046817779541,-1.9829694508644025e-07,0.5172993540763855,0.0,-1.7999128942847165e-07,1.0,8.555892350159411e-08,0.0,-0.5172993540763855,-1.9887668400997427e-08,-0.8558046817779541,0.0
1000,1000,210.1825714111328,994.0,26.825681686401367,-330.0,-0.864427924156189,-2.0873632422535593e-07,0.5027570724487305,0.0,-1.8927632083887147e-07,1.0,8.974635079539439e-08,0.0,-0.5027570724487305,-1.7580767064373504e-08,-0.864427924156189,0.0
1000,1000,209.21939086914062,994.0,26.440500259399414,-330.0,-0.8727571964263916,3.433171400502033e-07,0.4881550967693329,0.0,3.8243740618781885e-07,1.0,-1.9547542251530103e-08,0.0,-0.4881550967693329,1.696285067964709e-07,-0.8727571964263916,0.0
1000,1000,208.2616729736328,994.0,26.034645080566406,-330.0,-0.8807945251464844,-2.1401102401341632e-07,0.47349923849105835,0.0,-1.9582607535539864e-07,1.0,8.770560100401781e-08,0.0,-0.47349923849105835,-1.5472895853463342e-08,-0.8807945251464844,0.0
1000,1000,207.30938720703125,994.0,25.60832405090332,-330.0,-0.8885419368743896,-2.886628465148533e-07,0.45879513025283813,0.0,-3.0262069117270585e-07,1.0,4.309472956265381e-08,0.0,-0.45879513025283813,-1.0054942833903624e-07,-0.8885419368743896,0.0
1000,1000,206.36244201660156,994.0,25.161741256713867,-330.0,-0.8960031270980835,-2.9758783171018877e-07,0.44404807686805725,0.0,-3.084131492414599e-07,1.0,4.785232476933743e-08,0.0,-0.44404807686805725,-9.407443712916574e-08,-0.8960031270980835,0.0
1000,1000,205.4208984375,994.0,24.695098876953125,-330.0,-0.9031790494918823,-2.6141435682802694e-07,0.4292648434638977,0.0,-2.381436416953875e-07,1.0,1.0792425086947333e-07,0.0,-0.4292648434638977,-4.751786519818779e-09,-0.9031790494918823,0.0
1000,1000,204.48468017578125,994.0,24.20859718322754,-330.0,-0.9100720882415771,-2.759117592177063e-07,0.4144500494003296,0.0,-2.526979301364918e-07,1.0,1.1084187434562409e-07,0.0,-0.4144500494003296,-3.85657017432095e-09,-0.9100720882415771,0.0
1000,1000,203.55377197265625,994.0,23.702436447143555,-330.0,-0.9166855812072754,-2.8521489525701327e-07,0.3996094763278961,0.0,-2.611720049117139e-07,1.0,1.146176416000344e-07,0.0,-0.3996094763278961,7.015188430159469e-10,-0.9166855812072754,0.0
1000,1000,202.62814331054688,994.0,23.17681121826172,-330.0,-0.9230217933654785,-2.9542664492510085e-07,0.38474878668785095,0.0,-2.7077530262431537e-07,1.0,1.1824668888493761e-07,0.0,-0.38474878668785095,4.9637698396054475e-09,-0.9230217933654785,0.0
1000,1000,201.7077178955078,994.0,22.63191795349121,-330.0,-0.929082989692688,-1.7941372831842273e-09,0.36987200379371643,0.0,2.964855383424947e-08,1.0,7.932501233653966e-08,0.0,-0.36987200379371643,8.46656647013333e-08,-0.929082989692688,0.0
1000,1000,200.79257202148438,994.0,22.067949295043945,-330.0,-0.9348719120025635,-2.951408362150687e-07,0.354985773563385,0.0,-2.6743074954538315e-07,1.0,1.271244940426186e-07,0.0,-0.354985773563385,2.391098519183288e-08,-0.9348719120025635,0.0
1000,1000,199.88253784179688,994.0,21.48509407043457,-330.0,-0.940392017364502,-6.24459289610968e-07,0.3400932252407074,0.0,-6.021078888807097e-07,1.0,1.7125313434007694e-07,0.0,-0.3400932252407074,-4.372773787508777e-08,-0.940392017364502,0.0
1000,1000,198.97772216796875,994.0,20.883543014526367,-330.0,-0.9456452131271362,-3.2894982382458693e-07,0.32520049810409546,0.0,-2.986613196753751e-07,1.0,1.4305703643913148e-07,0.0,-0.32520049810409546,3.815638294213386e-08,-0.9456452131271362,0.0
1000,1000,198.07798767089844,994.0,20.26348304748535,-330.0,-0.9506348371505737,-6.419062401619158e-07,0.31031113862991333,0.0,-6.160846623970428e-07,1.0,1.81219959927148e-07,0.0,-0.31031113862991333,-1.890389000891446e-08,-0.9506348371505737,0.0
1000,1000,197.18338012695312,994.0,19.625097274780273,-330.0,-0.9553643465042114,-6.572357733602985e-07,0.2954309284687042,0.0,-6.293452088357299e-07,1.0,1.8949236846310669e-07,0.0,-0.2954309284687042,-4.893799143701472e-09,-0.9553643465042114,0.0
1000,1000,196.2938232421875,994.0,18.968570709228516,-330.0,-0.9598356485366821,-3.5118736718686705e-07,0.28056347370147705,0.0,-3.1834210290071496e-07,1.0,1.626417969191607e-07,0.0,-0.28056347370147705,6.679421460376034e-08,-0.9598356485366821,0.0
1000,1000,195.4093017578125,994.0,18.294084548950195,-330.0,-0.9640523195266724,-6.574153417204798e-07,0.2657126486301422,0.0,-6.285262657002022e-07,1.0,1.937550848651881e-07,0.0,-0.2657126486301422,1.9782667948220478e-08,-0.9640523195266724,0.0
1000,1000,194.52981567382812,994.0,17.601818084716797,-330.0,-0.9680172204971313,-6.807974841649411e-07,0.2508838474750519,0.0,-6.520492661366006e-07,1.0,1.977113441853362e-07,0.0,-0.2508838474750519,2.779935925900645e-08,-0.9680172204971313,0.0
1000,1000,193.65530395507812,994.0,16.891948699951172,-330.0,-0.971733570098877,-6.941749575162248e-07,0.23608045279979706,0.0,-6.659420819232764e-07,1.0,1.9932502937081154e-07,0.0,-0.23608045279979706,3.647489421609862e-08,-0.971733570098877,0.0
1000,1000,192.78573608398438,994.0,16.164653778076172,-330.0,-0.975204348564148,-6.994374643909396e-07,0.22130584716796875,0.0,-6.722432317474158e-07,1.0,1.98200154954975e-07,0.0,-0.22130584716796875,4.45143086835742e-08,-0.975204348564148,0.0
1000,1000,191.92111206054688,994.0,15.420106887817383,-330.0,-0.97843337059021,-7.062168947413738e-07,0.20656469464302063,0.0,-6.795375497858913e-07,1.0,2.001064842716005e-07,0.0,-0.20656469464302063,5.542235470556989e-08,-0.97843337059021,0.0
1000,1000,191.06134033203125,994.0,14.658480644226074,-330.0,-0.9814224243164062,-7.112498678907286e-07,0.19185993075370789,0.0,-6.853410923213232e-07,1.0,2.0140149104008742e-07,0.0,-0.19185993075370789,6.617042913603655e-08,-0.9814224243164062,0.0
1000,1000,190.20651245117188,994.0,13.879945755004883,-330.0,-0.9841756820678711,-7.215312507469207e-07,0.17719684541225433,0.0,-6.962346787986462e-07,1.0,2.0493692431955424e-07,0.0,-0.17719684541225433,7.83233176093745e-08,-0.9841756820678711,0.0
1000,1000,189.35650634765625,994.0,13.084671020507812,-330.0,-0.9866960048675537,-7.300195079551486e-07,0.16257677972316742,0.0,-7.054708817122446e-07,1.0,2.0872748507372307e-07,0.0,-0.16257677972316742,9.12573767664071e-08,-0.9866960048675537,0.0
1000,1000,188.51129150390625,994.0,12.272823333740234,-330.0,-0.9889869689941406,-7.559002028756368e-07,0.14800451695919037,0.0,-7.41376027235674e-07,1.0,1.5330066105434526e-07,0.0,-0.14800451695919037,4.188532543025758e-08,-0.9889869689941406,0.0
1000,1000,187.67086791992188,994.0,11.44456958770752,-330.0,-0.991051197052002,-7.435111228915048e-07,0.13348212838172913,0.0,-7.217056463559857e-07,1.0,2.1174250264266448e-07,0.0,-0.13348212838172913,1.1351284712191045e-07,-0.991051197052002,0.0
1000,1000,186.835205078125,994.0,10.60007381439209,-330.0,-0.9928926229476929,-7.322493047468015e-07,0.11901404708623886,0.0,-7.043981895549223e-07,1.0,2.7608160735326237e-07,0.0,-0.11901404708623886,1.9028610154236958e-07,-0.9928926229476929,0.0
1000,1000,186.00430297851562,994.0,9.739498138427734,-330.0,-0.9945144653320312,-7.396813543891767e-07,0.10460299253463745,0.0,-7.141024980228394e-07,1.0,2.819839721723838e-07,0.0,-0.10460299253463745,2.057397807675443e-07,-0.9945144653320312,0.0
1000,1000,185.17807006835938,994.0,8.86300277709961,-330.0,-0.995918869972229,-4.085984528501285e-07,0.0902513861656189,0.0,-3.85411169645522e-07,1.0,2.7434640514911734e-07,0.0,-0.0902513861656189,2.384429080848349e-07,-0.995918869972229,0.0
1000,1000,184.78445434570312,993.9996337890625,8.578380584716797,-329.9996643066406,-0.9965156316757202,5.943397627561353e-05,0.08340740203857422,0.0,5.6733213568804786e-05,1.0,-3.4750519262161106e-05,0.0,-0.08340740203857422,-2.9897462809458375e-05,-0.9965156316757202,0.0
1000,1000,184.707763671875,993.9984130859375,8.723735809326172,-329.9986267089844,-0.9966263771057129,0.0001512555027147755,0.0820734053850174,0.0,0.0001439518091501668,1.0,-9.490722004557028e-05,0.0,-0.08207342028617859,-8.277242159238085e-05,-0.9966263771057129,0.0
1000,1000,184.7493896484375,993.99658203125,9.02200984954834,-329.99700927734375,-0.9965662956237793,0.00014990707859396935,0.08279753476381302,0.0,0.0001413326826877892,1.0,-0.00010941953223664314,0.0,-0.08279754966497421,-9.734182094689459e-05,-0.9965662956237793,0.0
1000,1000,184.7882080078125,993.9947509765625,9.293240547180176,-329.99542236328125,-0.99651038646698,0.0001531395100755617,0.08347271382808685,0.0,0.00014316172746475786,1.0,-0.00012551882537081838,0.0,-0.08347272872924805,-0.00011313067807350308,-0.99651038646698,0.0
1000,1000,184.8227081298828,993.992919921875,9.536836624145508,-329.9938659667969,-0.9964596033096313,0.0001403945207130164,0.0840727835893631,0.0,0.0001294458343181759,1.0,-0.00013567981659434736,0.0,-0.08407279849052429,-0.00012431657523848116,-0.9964596033096313,0.0
1000,1000,184.85684204101562,993.9911499023438,9.753230094909668,-329.9923095703125,-0.9964096546173096,0.00012659837375395,0.084666408598423,0.0,0.00011469154560472816,1.0,-0.00014549618936143816,0.0,-0.0846664234995842,-0.00013526325346902013,-0.9964096546173096,0.0
1000,1000,184.89089965820312,993.9893798828125,9.942789077758789,-329.99078369140625,-0.9963588714599609,0.00011379099305486307,0.0852586030960083,0.0,0.00010092279262607917,1.0,-0.00015524151967838407,0.0,-0.0852586179971695,-0.00014607171760872006,-0.9963588714599609,0.0
1000,1000,184.92477416992188,993.9876098632812,10.105840682983398,-329.9892578125,-0.9963083267211914,0.00010119483340531588,0.08584776520729065,0.0,8.734011498745531e-05,1.0,-0.00016514300659764558,0.0,-0.08584778010845184,-0.00015703537792433053,-0.9963083267211914,0.0
1000,1000,184.95846557617188,993.98583984375,10.242685317993164,-329.9877624511719,-0.9962579011917114,8.810737926978618e-05,0.08643369376659393,0.0,7.326039485633373e-05,1.0,-0.00017494516214355826,0.0,-0.08643370866775513,-0.00016795829287730157,-0.9962579011917114,0.0
1000,1000,184.99197387695312,993.984130859375,10.353605270385742,-329.98626708984375,-0.9962068796157837,7.478181214537472e-05,0.0870160311460495,0.0,5.892396075068973e-05,1.0,-0.00018480911967344582,0.0,-0.0870160460472107,-0.00017898078658618033,-0.9962068796157837,0.0
1000,1000,185.0252685546875,993.982421875,10.438872337341309,-329.98480224609375,-0.9961564540863037,6.224500248208642e-05,0.08759507536888123,0.0,4.5379238144960254e-05,1.0,-0.0001945337135111913,0.0,-0.08759509027004242,-0.00018981094763148576,-0.9961564540863037,0.0
